0,3613
1,16294
2,1865
3,3523
4,2236
5,5420
6,3183
7,3994
8,9364
9,686
10,1355
11,9787
12,3006
13,1047
14,9517
15,5850
16,10169
17,3569
18,2823
19,7267
20,5639
21,3669
22,9197
23,19913
24,2214
25,2572
26,3003
27,3270
28,6071
29,2893
30,2725
31,7666
32,4626
33,8797
34,5177
35,2334
36,6396
37,8198
38,11541
39,6717
40,11521
41,5519
42,1850
43,6783
44,5085
45,3150
46,907
47,8736
48,3639
49,10853
50,9059
51,1310
52,1554
53,7707
54,1115
55,4611
56,2670
57,1755
58,2795
59,4996
60,4556
61,8020
62,5574
63,3322
64,2576
65,4032
66,2901
67,3593
68,4956
69,6007
70,4670
71,1905
72,3735
73,2828
74,3885
75,1663
76,3200
77,3148
78,8261
79,1941
80,4253
81,4578
82,2681
83,9223
84,2861
85,3564
86,8717
87,6741
88,2190
89,6495
90,6344
91,7487
92,11317
93,2155
94,1021
95,1885
96,1385
97,5806
98,7088
99,3955
100,8223
101,3630
102,5408
103,5626
104,7672
105,3083
106,8216
107,4813
108,1615
109,2373
110,4740
111,2723
112,10975
113,1691
114,14990
115,4613
116,3611
117,4106
118,10137
119,6586
120,7511
121,4473
122,5438
123,6966
124,2929
125,2226
126,17551
127,2323
128,7153
129,3880
130,8747
131,3181
132,4616
133,2508
134,4029
135,2293
136,1059
137,7705
138,6007
139,2834
140,3453
141,13932
142,1688
143,3051
144,4057
145,1957
146,1952
147,3222
148,4246
149,2258
150,3542
151,8819
152,3571
153,2044
154,3218
155,2547
156,8331
157,1734
158,2354
159,8588
160,1912
161,19391
162,1845
163,4789
164,2165
165,5344
166,4490
167,10210
168,6487
169,3385
170,3064
171,1698
172,8400
173,3389
174,3171
175,1939
176,3014
177,1789
178,4223
179,5841
180,2350
181,16228
182,2519
183,14205
184,7478
185,775
186,7073
187,23526
188,12179
189,4052
190,6669
191,9708
192,2557
193,4591
194,3099
195,629
196,10272
197,1868
198,9190
199,3266
200,965
201,5309
202,9272
203,3782
204,6386
205,8949
206,1901
207,3032
208,4653
209,4959
210,4663
211,2881
212,980
213,4265
214,8269
215,2905
216,21726
217,13464
218,3915
219,6556
220,5102
221,2274
222,5742
223,5451
224,16745
225,5201
226,3535
227,2636
228,7539
229,1229
230,2591
231,1746
232,2085
233,2755
234,3149
235,9818
236,4957
237,5329
238,5451
239,8000
240,8404
241,2133
242,9364
243,4596
244,1427
245,1744
246,1749
247,6618
248,3015
249,10794
250,3233
251,3838
252,3039
253,6561
254,4177
255,1480
256,3018
257,5573
258,4391
259,6650
260,3223
261,3496
262,4358
263,5507
264,2761
265,13843
266,1480
267,2323
268,7537
269,3950
270,9405
271,6133
272,1844
273,3349
274,3032
275,8997
276,2664
277,1195
278,4776
279,3506
280,2668
281,3107
282,4280
283,2195
284,1128
285,9006
286,4015
287,5302
288,7901
289,2736
290,2683
291,7394
292,6678
293,3960
294,1566
295,3666
296,1911
297,6217
298,5363
299,5498
300,4914
301,3738
302,5038
303,7105
304,3605
305,2058
306,5714
307,4098
308,4873
309,6142
310,1986
311,2236
312,1992
313,3370
314,3853
315,3804
316,2671
317,1652
318,5046
319,10689
320,8354
321,3758
322,1755
323,9228
324,1879
325,9220
326,1114
327,2194
328,3664
329,8881
330,895
331,5177
332,1192
333,5219
334,5738
335,9045
336,9379
337,8464
338,18283
339,2337
340,3886
341,3525
342,5930
343,1179
344,3714
345,4037
346,2849
347,4536
348,2121
349,832
350,714
351,7601
352,5560
353,2049
354,11732
355,7810
356,3576
357,8147
358,2499
359,1555
360,1513
361,2210
362,1216
363,5137
364,12474
365,3687
366,6538
367,4588
368,11363
369,4104
370,3411
371,3987
372,7941
373,1514
374,2416
375,4940
376,6517
377,2798
378,8787
379,341
380,2714
381,7987
382,12406
383,1943
384,5612
385,3515
386,6006
387,5867
388,4258
389,7631
390,7944
391,13393
392,14101
393,3819
394,3171
395,2735
396,2197
